"","x"
"1",0.063163988014165
"2",0.0678126977430888
"3",0.119131279244284
"4",0.0254911078417179
"5",0.0188911303930441
"6",0.0433056163162036
"7",0.0261379814839586
"8",0.0581399685246082
"9",0.0611755868544619
"10",-0.126417080138325
"11",-0.644342640552306
"12",-0.755475470030259
"13",-0.765735894174157
"14",-0.774200406606694
"15",-0.760104489216877
"16",-0.751897378906568
"17",-0.744283758691262
"18",-0.729584819776737
"19",-0.72658277159811
"20",-0.705661930341362
"21",-0.690676195875982
"22",-0.682668031867145
"23",-0.674532866313222
"24",-0.627926641228426
"25",-0.639387117368367
"26",-0.577552171460801
"27",-0.582202949323194
"28",-0.595641263621051
"29",-0.593523087346616
"30",-0.577342569355644
"31",-0.589062006173047
"32",-0.574348530874119
"33",-0.544815026424796
"34",-0.520668419187145
"35",-0.537852039831187
"36",-0.567704566760412
"37",-0.557678716504073
"38",-0.548219431522484
"39",-0.543525775020937
"40",-0.544033403259641
"41",-0.556698088202311
"42",-0.550542573423444
"43",-0.581481755208719
"44",-0.564790027587617
"45",-0.582851985559566
"46",-0.574928715487865
"47",-0.568026837244282
"48",-0.599372817746934
"49",-0.60450006694431
"50",-0.610027875859505
"51",-0.546145115686354
"52",-0.56264705354096
"53",-0.564066330700082
"54",-0.561087404474876
"55",-0.522000529707779
"56",-0.59237096270096
"57",-0.591512115371635
"58",-0.577598756163923
"59",-0.560979446721149
"60",-0.555197541637764
"61",-0.5464338028169
"62",-0.503089760938204
"63",-0.539395968850859
"64",-0.518838608778433
"65",-0.518417339200189
"66",-0.528515619809455
"67",-0.597184520318106
"68",-0.521006695036999
"69",-0.518493921199225
"70",-0.480797827407341
"71",-0.459850714081986
"72",-0.440738173626753
"73",-0.479379905105787
"74",-0.4988148002693
"75",-0.390286617693159
"76",-0.39368165249089
"77",-0.430496287087125
"78",-0.297077444929023
"79",-0.406176347026111
"80",-0.390656904197173
"81",-0.36853523497971
"82",-0.344504543931507
"83",-0.359280752600682
"84",-0.329187723910585
"85",-0.326996143408083
"86",-0.306127422022686
"87",-0.352350150332386
"88",-0.350020088388913
"89",-0.339143587474159
"90",0.417586732418923
"91",0.389039062553196
"92",-0.314628045828625
"93",-0.301843834741296
"94",-0.289047847803057
"95",-0.35235862050431
"96",-0.32373556758966
"97",-0.320590988100012
"98",-0.28162598233535
"99",-0.247644558613522
"100",-0.264948206650743
"101",-0.304695262456926
"102",-0.232425199776989
"103",-0.267133925371353
"104",-0.306437128437237
"105",-0.388782007627351
"106",-0.377825191050248
"107",-0.261163591418734
"108",-0.409206985661252
"109",-0.383702181591837
"110",-0.271631848910497
"111",-0.24403577355997
"112",-0.300082790718488
"113",-0.245686384976523
"114",-0.219598556608029
"115",-0.247582949193841
"116",-0.240968279332267
"117",-0.20293481812052
"118",-0.269383578936178
"119",-0.226657027104449
"120",-0.218625484509256
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
